0,0,0
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,9,9
0,10,10
0,11,11
0,12,12
0,13,13
0,14,14
0,15,15
0,16,16
0,17,17
0,18,18
0,19,19
0,20,20
0,21,21
0,22,22
0,23,23
0,24,24
0,25,25
0,26,26
0,27,27
0,28,28
0,29,29
0,30,30
0,31,31
0,32,32
0,33,33
0,34,34
0,35,35
0,36,36
0,37,37
0,38,38
0,39,39
0,40,40
0,41,41
0,42,42
0,43,43
0,44,44
0,45,45
0,46,46
0,47,47
0,48,48
0,49,49
0,50,50
1,0,1
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
1,6,7
1,7,8
1,8,9
1,9,10
1,10,11
1,11,12
1,12,13
1,13,14
1,14,15
1,15,16
1,16,17
1,17,18
1,18,19
1,19,20
1,20,21
1,21,22
1,22,23
1,23,24
1,24,25
1,25,26
1,26,27
1,27,28
1,28,29
1,29,30
1,30,31
1,31,32
1,32,33
1,33,34
1,34,35
1,35,36
1,36,37
1,37,38
1,38,39
1,39,40
1,40,41
1,41,42
1,42,43
1,43,44
1,44,45
1,45,46
1,46,47
1,47,48
1,48,49
1,49,50
1,50,51
2,0,2
2,1,3
2,2,4
2,3,5
2,4,6
2,5,7
2,6,8
2,7,9
2,8,10
2,9,11
2,10,12
2,11,13
2,12,14
2,13,15
2,14,16
2,15,17
2,16,18
2,17,19
2,18,20
2,19,21
2,20,22
2,21,23
2,22,24
2,23,25
2,24,26
2,25,27
2,26,28
2,27,29
2,28,30
2,29,31
2,30,32
2,31,33
2,32,34
2,33,35
2,34,36
2,35,37
2,36,38
2,37,39
2,38,40
2,39,41
2,40,42
2,41,43
2,42,44
2,43,45
2,44,46
2,45,47
2,46,48
2,47,49
2,48,50
2,49,51
2,50,52
3,0,3
3,1,4
3,2,5
3,3,6
3,4,7
3,5,8
3,6,9
3,7,10
3,8,11
3,9,12
3,10,13
3,11,14
3,12,15
3,13,16
3,14,17
3,15,18
3,16,19
3,17,20
3,18,21
3,19,22
3,20,23
3,21,24
3,22,25
3,23,26
3,24,27
3,25,28
3,26,29
3,27,30
3,28,31
3,29,32
3,30,33
3,31,34
3,32,35
3,33,36
